date,bus_route,daily_ridership
2024-01-01,B1,5289
2024-01-01,B100,628
2024-01-01,B101,0
2024-01-01,B103,2533
2024-01-01,B11,3140
2024-01-01,B12,1902
2024-01-01,B13,1120
2024-01-01,B14,881
2024-01-01,B15,3457
2024-01-01,B16,1721
2024-01-01,B17,2053
2024-01-01,B2,536
2024-01-01,B20,1073
2024-01-01,B24,547
2024-01-01,B25,1593
2024-01-01,B26,2312
2024-01-01,B3,4029
2024-01-01,B31,455
2024-01-01,B32,255
2024-01-01,B35,4844
2024-01-01,B36,3073
2024-01-01,B37,535
2024-01-01,B38,3411
2024-01-01,B39,57
2024-01-01,B4,1323
2024-01-01,B41,5388
2024-01-01,B42,356
2024-01-01,B43,1774
2024-01-01,B44,3789
2024-01-01,B44+,2131
2024-01-01,B45,798
2024-01-01,B46,3869
2024-01-01,B46+,2007
2024-01-01,B47,1473
2024-01-01,B48,785
2024-01-01,B49,1841
2024-01-01,B52,2305
2024-01-01,B54,1717
2024-01-01,B57,1590
2024-01-01,B6,7400
2024-01-01,B60,23
2024-01-01,B61,2230
2024-01-01,B62,1894
2024-01-01,B63,3066
2024-01-01,B64,1584
2024-01-01,B65,948
2024-01-01,B67,740
2024-01-01,B68,3586
2024-01-01,B69,722
2024-01-01,B7,908
2024-01-01,B70,2075
2024-01-01,B74,795
2024-01-01,B8,4352
2024-01-01,B82,6727
2024-01-01,B82+,32
2024-01-01,B83,1232
2024-01-01,B84,55
2024-01-01,B9,3837
2024-01-01,B90,0
2024-01-01,B91,0
2024-01-01,B91A,0
2024-01-01,B92,0
2024-01-01,B93,0
2024-01-01,B94,0
2024-01-01,B96,0
2024-01-01,B98,0
2024-01-01,B98V,0
2024-01-01,B99,0
2024-01-01,BM1,123
2024-01-01,BM2,63
2024-01-01,BM3,23
2024-01-01,BM4,36
2024-01-01,BM5,22
2024-01-01,BX1,2202
2024-01-01,BX10,1864
2024-01-01,BX11,1858
2024-01-01,BX12,1398
2024-01-01,BX12+,3616
2024-01-01,BX13,1697
2024-01-01,BX15,1093
2024-01-01,BX16,709
2024-01-01,BX17,906
2024-01-01,BX18,0
2024-01-01,BX18A,45
2024-01-01,BX18B,39
2024-01-01,BX19,3053
2024-01-01,BX2,1919
2024-01-01,BX20,0
2024-01-01,BX21,1172
2024-01-01,BX22,1303
2024-01-01,BX23,950
2024-01-01,BX24,116
2024-01-01,BX25,605
2024-01-01,BX26,623
2024-01-01,BX27,734
2024-01-01,BX28,1134
2024-01-01,BX29,316
2024-01-01,BX3,2125
2024-01-01,BX30,807
2024-01-01,BX31,689
2024-01-01,BX32,405
2024-01-01,BX33,155
2024-01-01,BX34,473
2024-01-01,BX35,1603
2024-01-01,BX36,2512
2024-01-01,BX38,922
2024-01-01,BX39,1643
2024-01-01,BX4,671
2024-01-01,BX40,1189
2024-01-01,BX41,920
2024-01-01,BX41+,1005
2024-01-01,BX42,980
2024-01-01,BX46,33
2024-01-01,BX4A,500
2024-01-01,BX5,1057
2024-01-01,BX6,1217
2024-01-01,BX6+,1144
2024-01-01,BX7,2876
2024-01-01,BX8,387
2024-01-01,BX9,3387
2024-01-01,BX90,0
2024-01-01,BX99,0
2024-01-01,BXM1,264
2024-01-01,BXM10,392
2024-01-01,BXM11,244
2024-01-01,BXM18,0
2024-01-01,BXM2,210
2024-01-01,BXM3,164
2024-01-01,BXM4,106
2024-01-01,BXM6,170
2024-01-01,BXM7,750
2024-01-01,BXM8,352
2024-01-01,BXM9,403
2024-01-01,D90,0
2024-01-01,D99,0
2024-01-01,F1,0
2024-01-01,J90,0
2024-01-01,J99,0
2024-01-01,L90,0
2024-01-01,L91,0
2024-01-01,L92,0
2024-01-01,M1,2891
2024-01-01,M10,1582
2024-01-01,M100,1705
2024-01-01,M101,4303
2024-01-01,M102,2922
2024-01-01,M103,3556
2024-01-01,M104,2780
2024-01-01,M106,259
2024-01-01,M11,3117
2024-01-01,M116,24
2024-01-01,M12,504
2024-01-01,M125,1638
2024-01-01,M14A,0
2024-01-01,M14A+,1625
2024-01-01,M14D,0
2024-01-01,M14D+,3365
2024-01-01,M15,7162
2024-01-01,M15+,6505
2024-01-01,M2,2474
2024-01-01,M20,807
2024-01-01,M21,234
2024-01-01,M22,609
2024-01-01,M23+,1927
2024-01-01,M3,3679
2024-01-01,M31,2255
2024-01-01,M34+,1480
2024-01-01,M34A+,1521
2024-01-01,M35,23
2024-01-01,M4,3270
2024-01-01,M42,2146
2024-01-01,M5,2294
2024-01-01,M50,448
2024-01-01,M55,1096
2024-01-01,M57,1376
2024-01-01,M60+,2705
2024-01-01,M66,1192
2024-01-01,M7,3390
2024-01-01,M72,900
2024-01-01,M79+,2541
2024-01-01,M8,237
2024-01-01,M86+,3699
2024-01-01,M9,1254
2024-01-01,M90,0
2024-01-01,M96,2511
2024-01-01,M98,46
2024-01-01,M99,0
2024-01-01,Q06,2296
2024-01-01,Q07,762
2024-01-01,Q08,2368
2024-01-01,Q09,697
2024-01-01,Q1,856
2024-01-01,Q10,6341
2024-01-01,Q100,890
2024-01-01,Q101,708
2024-01-01,Q102,1059
2024-01-01,Q103,145
2024-01-01,Q104,621
2024-01-01,Q107,0
2024-01-01,Q108,0
2024-01-01,Q11,674
2024-01-01,Q110,1175
2024-01-01,Q111,2510
2024-01-01,Q112,798
2024-01-01,Q113,398
2024-01-01,Q114,1908
2024-01-01,Q12,2637
2024-01-01,Q13,2028
2024-01-01,Q15,686
2024-01-01,Q15A,689
2024-01-01,Q16,962
2024-01-01,Q17,5014
2024-01-01,Q18,2170
2024-01-01,Q19,859
2024-01-01,Q2,1282
2024-01-01,Q20A,4118
2024-01-01,Q20B,48
2024-01-01,Q21,844
2024-01-01,Q22,1316
2024-01-01,Q23,4312
2024-01-01,Q24,1494
2024-01-01,Q25,6239
2024-01-01,Q26,0
2024-01-01,Q27,7194
2024-01-01,Q28,2481
2024-01-01,Q29,1364
2024-01-01,Q3,2570
2024-01-01,Q30,1216
2024-01-01,Q31,454
2024-01-01,Q32,3135
2024-01-01,Q33,2205
2024-01-01,Q34,4
2024-01-01,Q35,995
2024-01-01,Q36,1162
2024-01-01,Q37,1623
2024-01-01,Q38,1094
2024-01-01,Q39,662
2024-01-01,Q4,12
2024-01-01,Q40,928
2024-01-01,Q41,911
2024-01-01,Q42,0
2024-01-01,Q43,3072
2024-01-01,Q44+,5825
2024-01-01,Q46,3605
2024-01-01,Q47,1859
2024-01-01,Q48,1160
2024-01-01,Q49,2145
2024-01-01,Q5,2599
2024-01-01,Q50,976
2024-01-01,Q52+,934
2024-01-01,Q53+,3633
2024-01-01,Q54,2142
2024-01-01,Q55,1537
2024-01-01,Q56,1474
2024-01-01,Q58,9365
2024-01-01,Q59,1669
2024-01-01,Q60,4006
2024-01-01,Q64,1618
2024-01-01,Q65,6150
2024-01-01,Q66,4614
2024-01-01,Q67,148
2024-01-01,Q69,2221
2024-01-01,Q70+,191
2024-01-01,Q72,1158
2024-01-01,Q76,738
2024-01-01,Q77,711
2024-01-01,Q83,1887
2024-01-01,Q84,682
2024-01-01,Q85,2182
2024-01-01,Q88,1905
2024-01-01,Q90,0
2024-01-01,Q92,0
2024-01-01,Q93,0
2024-01-01,Q94,4
2024-01-01,Q95,5
2024-01-01,Q96,0
2024-01-01,Q98V,0
2024-01-01,QM1,20
2024-01-01,QM10,0
2024-01-01,QM11,77
2024-01-01,QM12,29
2024-01-01,QM15,60
2024-01-01,QM16,29
2024-01-01,QM17,12
2024-01-01,QM18,2
2024-01-01,QM2,160
2024-01-01,QM20,27
2024-01-01,QM21,0
2024-01-01,QM24,4
2024-01-01,QM25,12
2024-01-01,QM3,8
2024-01-01,QM31,15
2024-01-01,QM32,39
2024-01-01,QM34,10
2024-01-01,QM35,39
2024-01-01,QM36,10
2024-01-01,QM4,116
2024-01-01,QM40,19
2024-01-01,QM42,0
2024-01-01,QM44,0
2024-01-01,QM5,312
2024-01-01,QM6,173
2024-01-01,QM7,107
2024-01-01,QM8,48
2024-01-01,S40,321
2024-01-01,S42,70
2024-01-01,S44,927
2024-01-01,S46,70
2024-01-01,S48,671
2024-01-01,S51,452
2024-01-01,S52,336
2024-01-01,S53,1676
2024-01-01,S54,25
2024-01-01,S55,14
2024-01-01,S56,0
2024-01-01,S57,292
2024-01-01,S59,557
2024-01-01,S61,817
2024-01-01,S62,758
2024-01-01,S66,54
2024-01-01,S74,729
2024-01-01,S76,293
2024-01-01,S78,850
2024-01-01,S79+,3539
2024-01-01,S81,16
2024-01-01,S84,0
2024-01-01,S86,0
2024-01-01,S89,0
2024-01-01,S90,0
2024-01-01,S91,0
2024-01-01,S92,22
2024-01-01,S93,39
2024-01-01,S94,0
2024-01-01,S96,0
2024-01-01,S98,18
2024-01-01,SIM1,8
2024-01-01,SIM10,3
2024-01-01,SIM11,0
2024-01-01,SIM15,0
2024-01-01,SIM1C,2207
2024-01-01,SIM2,8
2024-01-01,SIM22,10
2024-01-01,SIM23,0
2024-01-01,SIM24,0
2024-01-01,SIM25,3
2024-01-01,SIM26,53
2024-01-01,SIM3,7
2024-01-01,SIM30,0
2024-01-01,SIM31,20
2024-01-01,SIM32,9
2024-01-01,SIM33,17
2024-01-01,SIM33C,511
2024-01-01,SIM34,8
2024-01-01,SIM35,20
2024-01-01,SIM3C,428
2024-01-01,SIM4,45
2024-01-01,SIM4C,686
2024-01-01,SIM4X,4
2024-01-01,SIM5,34
2024-01-01,SIM5X,0
2024-01-01,SIM6,11
2024-01-01,SIM6X,0
2024-01-01,SIM7,0
2024-01-01,SIM8,39
2024-01-01,SIM8X,3
2024-01-01,SIM9,0
2024-01-01,X1,0
2024-01-01,X10,0
2024-01-01,X10B,0
2024-01-01,X11,0
