variable,location,within_location_variance,between_location_variance
pm10_min,Brentwood/Medford,43.727775573730469,13.134900093078613
pm10_min,East Hampton,66.193183898925781,13.134900093078613
pm10_min,Hempstead,60.457630157470703,13.134900093078613
pm10_max,Brentwood/Medford,233.848510742187500,68.300262451171875
pm10_max,East Hampton,247.714859008789062,68.300262451171875
pm10_max,Hempstead,328.465759277343750,68.300262451171875
pm10_mean,Brentwood/Medford,92.634315490722656,20.816795349121094
pm10_mean,East Hampton,112.924728393554688,20.816795349121094
pm10_mean,Hempstead,128.196395874023438,20.816795349121094
pm2_5_min,Brentwood/Medford,19.022769927978516,5.080285549163818
pm2_5_min,East Hampton,23.398780822753906,5.080285549163818
pm2_5_min,Hempstead,26.754978179931641,5.080285549163818
pm2_5_max,Brentwood/Medford,110.732414245605469,36.674209594726562
pm2_5_max,East Hampton,95.233200073242188,36.674209594726562
pm2_5_max,Hempstead,155.381286621093750,36.674209594726562
pm2_5_mean,Brentwood/Medford,42.105495452880859,9.709391593933105
pm2_5_mean,East Hampton,40.414394378662109,9.709391593933105
pm2_5_mean,Hempstead,58.706459045410156,9.709391593933105
carbon_monoxide_min,Brentwood/Medford,2059.895019531250000,718.257690429687500
carbon_monoxide_min,East Hampton,1525.904418945312500,718.257690429687500
carbon_monoxide_min,Hempstead,2683.748535156250000,718.257690429687500
carbon_monoxide_max,Brentwood/Medford,10078.606445312500000,14039.269531250000000
carbon_monoxide_max,East Hampton,4901.463378906250000,14039.269531250000000
carbon_monoxide_max,Hempstead,32692.365234375000000,14039.269531250000000
carbon_monoxide_mean,Brentwood/Medford,3883.331787109375000,2775.864990234375000
carbon_monoxide_mean,East Hampton,2411.613769531250000,2775.864990234375000
carbon_monoxide_mean,Hempstead,7973.023925781250000,2775.864990234375000
carbon_dioxide_min,Brentwood/Medford,17.396900177001953,13.925000190734863
carbon_dioxide_min,East Hampton,8.181945800781250,13.925000190734863
carbon_dioxide_min,Hempstead,35.847023010253906,13.925000190734863
carbon_dioxide_max,Brentwood/Medford,165.439163208007812,449.596679687500000
carbon_dioxide_max,East Hampton,52.697055816650391,449.596679687500000
carbon_dioxide_max,Hempstead,894.462951660156250,449.596679687500000
carbon_dioxide_mean,Brentwood/Medford,41.941799163818359,81.295028686523438
carbon_dioxide_mean,East Hampton,15.360181808471680,81.295028686523438
carbon_dioxide_mean,Hempstead,166.553543090820312,81.295028686523438
nitrogen_dioxide_min,Brentwood/Medford,27.820606231689453,37.267032623291016
nitrogen_dioxide_min,East Hampton,4.466560840606689,37.267032623291016
nitrogen_dioxide_min,Hempstead,58.957145690917969,37.267032623291016
nitrogen_dioxide_max,Brentwood/Medford,373.138183593750000,375.934356689453125
nitrogen_dioxide_max,East Hampton,151.566070556640625,375.934356689453125
nitrogen_dioxide_max,Hempstead,333.811889648437500,375.934356689453125
nitrogen_dioxide_mean,Brentwood/Medford,104.874145507812500,124.546012878417969
nitrogen_dioxide_mean,East Hampton,29.577278137207031,124.546012878417969
nitrogen_dioxide_mean,Hempstead,135.514816284179688,124.546012878417969
sulphur_dioxide_min,Brentwood/Medford,1.573806405067444,2.167489290237427
sulphur_dioxide_min,East Hampton,0.468483865261078,2.167489290237427
sulphur_dioxide_min,Hempstead,2.748173236846924,2.167489290237427
sulphur_dioxide_max,Brentwood/Medford,11.217050552368164,10.319231033325195
sulphur_dioxide_max,East Hampton,5.469801425933838,10.319231033325195
sulphur_dioxide_max,Hempstead,16.208843231201172,10.319231033325195
sulphur_dioxide_mean,Brentwood/Medford,4.282536506652832,4.357187271118164
sulphur_dioxide_mean,East Hampton,1.778220295906067,4.357187271118164
sulphur_dioxide_mean,Hempstead,6.158245086669922,4.357187271118164
ozone_min,Brentwood/Medford,578.101074218750000,304.254241943359375
ozone_min,East Hampton,469.231903076171875,304.254241943359375
ozone_min,Hempstead,395.937347412109375,304.254241943359375
ozone_max,Brentwood/Medford,1294.681762695312500,153.609558105468750
ozone_max,East Hampton,1183.328857421875000,153.609558105468750
ozone_max,Hempstead,1509.211303710937500,153.609558105468750
ozone_mean,Brentwood/Medford,568.825683593750000,170.062377929687500
ozone_mean,East Hampton,465.074890136718750,170.062377929687500
ozone_mean,Hempstead,533.789733886718750,170.062377929687500
uv_index_min,Brentwood/Medford,0.000000000000000,0.000000000000000
uv_index_min,East Hampton,0.000000000000000,0.000000000000000
uv_index_min,Hempstead,0.000000000000000,0.000000000000000
uv_index_max,Brentwood/Medford,5.144263744354248,0.180083915591240
uv_index_max,East Hampton,5.708092689514160,0.180083915591240
uv_index_max,Hempstead,5.148562431335449,0.180083915591240
uv_index_mean,Brentwood/Medford,0.379191696643829,0.008409344591200
uv_index_mean,East Hampton,0.428374081850052,0.008409344591200
uv_index_mean,Hempstead,0.376299202442169,0.008409344591200
ammonia_min,Brentwood/Medford,,
ammonia_min,East Hampton,,
ammonia_min,Hempstead,,
ammonia_max,Brentwood/Medford,,
ammonia_max,East Hampton,,
ammonia_max,Hempstead,,
ammonia_mean,Brentwood/Medford,,
ammonia_mean,East Hampton,,
ammonia_mean,Hempstead,,
methane_min,Brentwood/Medford,240.260696411132812,62.744998931884766
methane_min,East Hampton,180.451553344726562,62.744998931884766
methane_min,Hempstead,268.707092285156250,62.744998931884766
methane_max,Brentwood/Medford,1234.458129882812500,1462.294799804687500
methane_max,East Hampton,761.030334472656250,1462.294799804687500
methane_max,Hempstead,3930.899902343750000,1462.294799804687500
methane_mean,Brentwood/Medford,443.082733154296875,297.781066894531250
methane_mean,East Hampton,301.779998779296875,297.781066894531250
methane_mean,Hempstead,943.910400390625000,297.781066894531250
us_aqi_min,Brentwood/Medford,209.008651733398438,41.556919097900391
us_aqi_min,East Hampton,200.608520507812500,41.556919097900391
us_aqi_min,Hempstead,280.096893310546875,41.556919097900391
us_aqi_max,Brentwood/Medford,1263.981445312500000,170.909103393554688
us_aqi_max,East Hampton,1290.118774414062500,170.909103393554688
us_aqi_max,Hempstead,1092.203491210937500,170.909103393554688
us_aqi_mean,Brentwood/Medford,367.032440185546875,52.935157775878906
us_aqi_mean,East Hampton,396.736755371093750,52.935157775878906
us_aqi_mean,Hempstead,374.072174072265625,52.935157775878906
us_aqi_pm2_5_min,Brentwood/Medford,293.332397460937500,52.752384185791016
us_aqi_pm2_5_min,East Hampton,297.210876464843750,52.752384185791016
us_aqi_pm2_5_min,Hempstead,355.039062500000000,52.752384185791016
us_aqi_pm2_5_max,Brentwood/Medford,331.796997070312500,84.793312072753906
us_aqi_pm2_5_max,East Hampton,325.096252441406250,84.793312072753906
us_aqi_pm2_5_max,Hempstead,384.325286865234375,84.793312072753906
us_aqi_pm2_5_mean,Brentwood/Medford,308.086608886718750,63.892398834228516
us_aqi_pm2_5_mean,East Hampton,308.903686523437500,63.892398834228516
us_aqi_pm2_5_mean,Hempstead,356.668640136718750,63.892398834228516
us_aqi_pm10_min,Brentwood/Medford,48.700229644775391,10.076506614685059
us_aqi_pm10_min,East Hampton,61.832138061523438,10.076506614685059
us_aqi_pm10_min,Hempstead,69.647209167480469,10.076506614685059
us_aqi_pm10_max,Brentwood/Medford,79.619331359863281,21.215501785278320
us_aqi_pm10_max,East Hampton,96.342887878417969,21.215501785278320
us_aqi_pm10_max,Hempstead,110.439437866210938,21.215501785278320
us_aqi_pm10_mean,Brentwood/Medford,63.065895080566406,14.278443336486816
us_aqi_pm10_mean,East Hampton,78.885826110839844,14.278443336486816
us_aqi_pm10_mean,Hempstead,87.088035583496094,14.278443336486816
us_aqi_nitrogen_dioxide_min,Brentwood/Medford,6.748441696166992,9.039857864379883
us_aqi_nitrogen_dioxide_min,East Hampton,1.083452463150024,9.039857864379883
us_aqi_nitrogen_dioxide_min,Hempstead,14.301243782043457,9.039857864379883
us_aqi_nitrogen_dioxide_max,Brentwood/Medford,90.527900695800781,91.267982482910156
us_aqi_nitrogen_dioxide_max,East Hampton,36.765369415283203,91.267982482910156
us_aqi_nitrogen_dioxide_max,Hempstead,81.164581298828125,91.267982482910156
us_aqi_nitrogen_dioxide_mean,Brentwood/Medford,25.439504623413086,30.216573715209961
us_aqi_nitrogen_dioxide_mean,East Hampton,7.174559593200684,30.216573715209961
us_aqi_nitrogen_dioxide_mean,Hempstead,32.882125854492188,30.216573715209961
us_aqi_carbon_monoxide_min,Brentwood/Medford,0.181948736310005,0.072642199695110
us_aqi_carbon_monoxide_min,East Hampton,0.150212675333023,0.072642199695110
us_aqi_carbon_monoxide_min,Hempstead,0.243714600801468,0.072642199695110
us_aqi_carbon_monoxide_max,Brentwood/Medford,0.688743710517883,0.697313964366913
us_aqi_carbon_monoxide_max,East Hampton,0.380814701318741,0.697313964366913
us_aqi_carbon_monoxide_max,Hempstead,1.972292304039001,0.697313964366913
us_aqi_carbon_monoxide_mean,Brentwood/Medford,0.360741347074509,0.261954903602600
us_aqi_carbon_monoxide_mean,East Hampton,0.219864651560783,0.261954903602600
us_aqi_carbon_monoxide_mean,Hempstead,0.755713403224945,0.261954903602600
us_aqi_ozone_min,Brentwood/Medford,135.386993408203125,61.096099853515625
us_aqi_ozone_min,East Hampton,134.789611816406250,61.096099853515625
us_aqi_ozone_min,Hempstead,96.813713073730469,61.096099853515625
us_aqi_ozone_max,Brentwood/Medford,1459.331542968750000,153.729965209960938
us_aqi_ozone_max,East Hampton,1439.726928710937500,153.729965209960938
us_aqi_ozone_max,Hempstead,1411.618896484375000,153.729965209960938
us_aqi_ozone_mean,Brentwood/Medford,302.567840576171875,61.745975494384766
us_aqi_ozone_mean,East Hampton,341.219543457031250,61.745975494384766
us_aqi_ozone_mean,Hempstead,229.603866577148438,61.745975494384766
us_aqi_sulphur_dioxide_min,Brentwood/Medford,0.467899322509766,0.644404232501984
us_aqi_sulphur_dioxide_min,East Hampton,0.139282286167145,0.644404232501984
us_aqi_sulphur_dioxide_min,Hempstead,0.817043125629425,0.644404232501984
us_aqi_sulphur_dioxide_max,Brentwood/Medford,3.334875583648682,3.067952871322632
us_aqi_sulphur_dioxide_max,East Hampton,1.626198887825012,3.067952871322632
us_aqi_sulphur_dioxide_max,Hempstead,4.818965911865234,3.067952871322632
us_aqi_sulphur_dioxide_mean,Brentwood/Medford,1.273216605186462,1.295411109924316
us_aqi_sulphur_dioxide_mean,East Hampton,0.528672635555267,1.295411109924316
us_aqi_sulphur_dioxide_mean,Hempstead,1.830873727798462,1.295411109924316
