date,relative_humidity_2m_min,relative_humidity_2m_max,relative_humidity_2m_mean,dew_point_2m_min,dew_point_2m_max,dew_point_2m_mean,precipitation_probability_min,precipitation_probability_max,precipitation_probability_mean,vapour_pressure_deficit_min,vapour_pressure_deficit_max,vapour_pressure_deficit_mean,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_mean,wind_speed_80m_min,wind_speed_80m_max,wind_speed_80m_mean,wind_speed_120m_min,wind_speed_120m_max,wind_speed_120m_mean,wind_speed_180m_min,wind_speed_180m_max,wind_speed_180m_mean,precipitation_min,precipitation_max,precipitation_mean,temperature_2m_min,temperature_2m_max,temperature_2m_mean,apparent_temperature_min,apparent_temperature_max,apparent_temperature_mean,rain_min,rain_max,rain_mean,showers_min,showers_max,showers_mean,weather_code_min,weather_code_max,weather_code_mean,cloud_cover_low_min,cloud_cover_low_max,cloud_cover_low_mean,cloud_cover_mid_min,cloud_cover_mid_max,cloud_cover_mid_mean,cloud_cover_high_min,cloud_cover_high_max,cloud_cover_high_mean,evapotranspiration_min,evapotranspiration_max,evapotranspiration_mean,city,state,pm10_min,pm10_max,pm10_mean,pm2_5_min,pm2_5_max,pm2_5_mean,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_dioxide_min,carbon_dioxide_max,carbon_dioxide_mean,nitrogen_dioxide_min,nitrogen_dioxide_max,nitrogen_dioxide_mean,sulphur_dioxide_min,sulphur_dioxide_max,sulphur_dioxide_mean,ozone_min,ozone_max,ozone_mean,uv_index_min,uv_index_max,uv_index_mean,ammonia_min,ammonia_max,ammonia_mean,methane_min,methane_max,methane_mean,us_aqi_min,us_aqi_max,us_aqi_mean,us_aqi_pm2_5_min,us_aqi_pm2_5_max,us_aqi_pm2_5_mean,us_aqi_pm10_min,us_aqi_pm10_max,us_aqi_pm10_mean,us_aqi_nitrogen_dioxide_min,us_aqi_nitrogen_dioxide_max,us_aqi_nitrogen_dioxide_mean,us_aqi_carbon_monoxide_min,us_aqi_carbon_monoxide_max,us_aqi_carbon_monoxide_mean,us_aqi_ozone_min,us_aqi_ozone_max,us_aqi_ozone_mean,us_aqi_sulphur_dioxide_min,us_aqi_sulphur_dioxide_max,us_aqi_sulphur_dioxide_mean
2023-01-01,45.0,96.0,73.75,28.77379,50.25219,41.34301,,,,0.05141294,0.72854185,0.3344634,1.360714,12.309598,6.6542997,3.3255396,16.505362,12.748828,10.325335,20.331371,15.735426,11.641,26.773067,19.806234,0.0,0.0,0.0,46.688,53.528,50.342003,42.630226,50.201454,45.58995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8,0.0,100.0,24.1,0.0,100.0,21.1,0.0,97.0,9.7,0.0,0.0007874016,0.00031496063,City of New York,New York,6.9,35.6,14.6449995,4.8,24.9,10.24,200.0,643.0,308.05,,,,14.0,54.55,33.2475,1.3,4.7,2.42,0.0,45.0,21.5,0.0,1.65,0.3725,,,,,,,47.79514,77.62411,66.8738,47.79514,77.62411,66.8738,14.905305,32.897724,26.095642,6.8951926,26.866627,16.374851,2.3466184,7.863527,3.791727,0.0,14.494434,8.134276,0.70883316,2.5627046,1.3195202
2023-01-02,49.0,84.0,67.666664,28.034918,42.093655,36.851406,,,,0.15480924,0.6022884,0.36991754,1.0004169,6.2154794,2.6089747,2.5010421,11.340508,6.064367,5.028383,11.951783,8.973359,2.7670162,19.482458,13.365222,0.0,0.0,0.0,42.008,55.508,47.228,37.67968,51.240326,43.173466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.25,0.0,100.0,12.458333,0.0,98.0,32.583332,0.0,97.0,11.791667,-0.0,-0.0,0.0,City of New York,New York,20.2,82.0,44.904163,14.1,57.3,31.383333,248.0,1424.0,676.5417,,,,25.6,82.15,50.091663,6.0,18.8,9.047916,0.0,23.0,6.7083335,0.0,1.65,0.27291667,,,,,,,46.66667,88.3954,63.933582,46.66667,88.3954,63.933582,14.553031,39.075764,24.160355,12.608354,40.460007,24.670837,3.080918,8.230677,5.878774,0.69573283,11.363637,4.1043406,3.271538,10.250818,4.9334335
2023-01-03,70.0,99.0,89.625,42.86289,50.892677,46.800797,,,,0.011127472,0.40263683,0.13123417,0.63271916,8.503543,3.209303,1.4323789,13.711552,6.2741485,3.4325087,14.370102,8.639163,9.048105,24.518377,13.459816,0.0,0.015748031,0.000656168,46.328003,52.718,49.84175,43.230396,50.94963,47.670883,0.0,0.015748031,0.000656168,0.0,0.0,0.0,1.0,51.0,4.8333335,4.0,100.0,87.791664,0.0,100.0,54.458332,0.0,100.0,63.625,0.0,0.0003937008,1.64042e-05,City of New York,New York,21.5,78.5,56.033337,15.0,54.9,39.037502,359.0,1182.0,825.5417,,,,42.4,74.5,52.047916,4.05,16.8,11.25,0.0,10.0,1.5416666,0.0,0.3,0.06458334,,,,,,,91.24114,124.166664,111.69222,91.24114,124.166664,111.69222,40.82197,54.904167,50.377567,20.882586,36.692276,25.634315,5.724638,10.954106,8.457327,0.0,4.0584416,0.76337355,2.208288,9.160306,6.134134
2023-01-04,77.0,98.0,90.125,49.252583,57.206287,52.40559,,,,0.025451064,0.46932697,0.16290855,0.31635958,6.9383073,4.5577044,3.8094735,17.727432,9.577872,8.072582,19.245956,14.236939,7.5031257,33.13253,22.5603,0.0,0.0,0.0,50.918,64.058,55.331753,48.938805,63.290493,54.189304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.625,2.0,100.0,60.208332,0.0,100.0,50.166668,3.0,100.0,60.625,-0.0,0.0015748031,0.000246063,City of New York,New York,14.0,63.8,27.987501,9.7,44.6,19.533333,197.0,745.0,419.16666,,,,20.7,72.9,49.152084,2.7,11.05,5.1604166,0.0,45.0,15.083333,0.0,1.4,0.2625,,,,,,,57.45567,108.843735,76.94027,57.45567,108.843735,76.94027,20.21591,50.51667,32.141636,10.195036,35.904255,24.208078,2.3731883,5.2608695,3.8140097,2.0292208,14.610389,7.0104747,1.4721919,6.0250816,2.8137496
2023-01-05,89.0,100.0,94.958336,43.84498,52.300377,46.35754,,,,0.0,0.13242495,0.058332156,2.2031894,8.632038,5.68074,4.7559276,11.938121,8.274873,3.0633295,12.331778,7.682093,3.8094738,17.707659,10.271541,0.0,0.0,0.0,45.518,54.878,47.7455,41.41979,54.246094,44.41762,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,17.0,100.0,100.0,100.0,0.0,100.0,21.708334,0.0,98.0,39.458332,0.0,0.0,0.0,City of New York,New York,26.1,67.1,42.416668,18.3,47.0,29.666666,590.0,1179.0,759.625,,,,36.85,85.4,55.308334,3.7,11.75,7.0145836,0.0,9.0,2.125,0.0,0.55,0.106249996,,,,,,,66.028366,89.37943,77.83651,66.028366,89.37943,77.83651,25.443182,39.64394,32.61316,18.149132,42.06068,27.240118,5.2777777,8.960146,7.265248,0.0,3.8845084,1.3359036,2.0174482,6.4067616,3.824746
2023-01-06,69.0,96.0,89.208336,34.213245,45.063614,40.987488,,,,0.035374165,0.32012385,0.108795255,2.608768,9.174427,5.2590923,2.4708471,16.831102,7.7027926,2.166101,16.464901,9.326384,2.0256896,16.86526,8.604852,0.0,0.027559055,0.003608924,41.288002,47.048,44.093002,36.73255,43.543465,39.700985,0.0,0.027559055,0.003608924,0.0,0.0,0.0,0.0,53.0,11.041667,17.0,100.0,96.291664,0.0,100.0,46.166668,0.0,0.0,0.0,0.0,0.0,0.0,City of New York,New York,18.6,32.4,25.404167,12.7,22.5,17.633333,277.0,583.0,440.41666,,,,36.35,51.65,41.741665,4.6,9.3,7.504167,0.0,17.0,4.875,0.0,0.8,0.13541667,,,,,,,63.244682,87.58865,78.44526,63.244682,87.58865,78.44526,23.863634,38.560608,33.074654,17.902876,25.43834,20.558346,3.4649758,6.3840585,4.567985,0.0,5.3339515,1.3214092,2.508179,5.0708833,4.0916944
2023-01-07,56.0,80.0,69.083336,26.848295,33.07269,29.195816,,,,0.13522619,0.4301234,0.2556375,3.257121,12.406782,7.780487,11.205114,19.742712,14.444111,13.888596,19.245956,16.208982,13.835081,25.78282,19.945704,0.0,0.0,0.0,33.908,43.898003,38.633,27.09565,35.879906,31.115494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.2916666,0.0,100.0,38.958332,0.0,84.0,15.375,0.0,0.0,0.0,0.0,0.0,0.0,City of New York,New York,7.9,20.4,11.979167,5.5,14.3,8.375,200.0,442.0,305.0,,,,12.55,51.25,29.518751,2.85,4.95,3.7104168,1.0,35.0,11.708333,0.0,1.15,0.20416667,,,,,,,36.649307,61.98582,52.12129,36.649307,61.98582,52.12129,11.439393,23.094696,17.57055,6.181048,25.241333,14.538391,2.490338,4.4142513,3.2974033,2.3770874,9.218459,5.0923777,1.5539805,2.6990185,2.023128
2023-01-08,35.0,73.0,59.333332,13.590374,29.304228,22.320549,,,,0.15622142,0.5246874,0.29570284,2.4708471,8.301048,5.0542827,2.9845302,17.253927,10.610843,1.2916132,19.864456,11.988654,0.9223387,25.54983,14.750877,0.0,0.0,0.0,30.578,40.658,35.53175,23.126314,34.11878,28.337227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8333333,0.0,99.0,7.4583335,0.0,14.0,1.125,0.0,97.0,23.041666,0.0,0.0,0.0,City of New York,New York,6.7,36.0,14.854167,4.7,25.1,10.391666,174.0,566.0,293.79166,,,,12.0,66.25,40.25,2.75,11.25,4.766667,2.0,52.0,23.375,0.0,1.6,0.30833334,,,,,,,30.868057,40.46875,33.537327,30.868057,40.46875,33.537327,9.625,12.617423,10.458806,5.910166,32.629036,19.823679,2.0603867,3.1896133,2.637983,4.4642854,18.089052,11.114815,1.4994547,6.1341333,2.599055
2023-01-09,42.0,90.0,69.875,18.763968,33.67385,27.808344,,,,0.07236719,0.5402112,0.24421215,0.7074015,13.423864,5.643296,2.237,17.921148,10.196185,0.51055497,20.6885,10.578182,4.718956,22.497147,13.141292,0.0,0.0,0.0,31.838,43.988,37.44425,24.73762,34.520905,30.682768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0,48.375,0.0,100.0,42.041668,0.0,98.0,28.958334,-0.0,-0.0,0.0,City of New York,New York,14.3,42.7,24.725,10.0,29.9,17.25,212.0,778.0,443.125,,,,15.2,72.15,44.372913,3.85,13.7,7.8604164,0.0,47.0,12.75,0.0,1.5,0.27916667,,,,,,,43.29861,65.06206,58.10747,43.29861,65.06206,58.10747,13.503788,24.856062,20.712753,7.4862094,35.53487,21.854273,2.992754,6.0471015,4.4978366,0.69573283,13.450835,4.821815,2.099237,7.4700108,4.2859416
2023-01-10,45.0,62.0,57.333332,16.431479,28.650442,23.663767,,,,0.24603745,0.41495895,0.32613176,3.5014586,7.7233214,5.3607044,4.906124,16.897867,10.238702,9.386437,18.368626,14.335189,9.24777,21.411022,16.095297,0.0,0.0,0.0,33.188,41.018,37.47425,25.26978,34.44472,30.302065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0,66.666664,0.0,99.0,15.041667,0.0,90.0,6.5,-0.0,-0.0,0.0,City of New York,New York,15.3,54.9,22.479166,10.7,38.4,15.683333,195.0,1062.0,354.41666,,,,15.45,55.2,37.939583,4.25,9.0,5.38125,2.0,46.0,20.75,0.0,0.95,0.18958335,,,,,,,53.679077,61.170216,55.454346,53.679077,61.170216,55.454346,17.882576,22.47727,18.964489,7.6093383,27.18676,18.685768,2.4806764,3.5507247,2.9967291,4.174397,13.972634,10.220992,2.3173392,4.9073067,2.9341605
