variable,location,within_location_variance,between_location_variance
pm10_min,Central Park,57.640632629394531,0.000000000000303
pm10_min,Soho,57.640632629394531,0.000000000000303
pm10_min,Washington Heights,57.640632629394531,0.000000000000303
pm10_max,Central Park,359.388061523437500,0.000000000002988
pm10_max,Soho,359.388061523437500,0.000000000002988
pm10_max,Washington Heights,359.388061523437500,0.000000000002988
pm10_mean,Central Park,131.001586914062500,0.000000000000000
pm10_mean,Soho,131.001586914062500,0.000000000000000
pm10_mean,Washington Heights,131.001586914062500,0.000000000000000
pm2_5_min,Central Park,26.949148178100586,0.000000000000132
pm2_5_min,Soho,26.949148178100586,0.000000000000132
pm2_5_min,Washington Heights,26.949148178100586,0.000000000000132
pm2_5_max,Central Park,180.371673583984375,0.000000000001744
pm2_5_max,Soho,180.371673583984375,0.000000000001744
pm2_5_max,Washington Heights,180.371673583984375,0.000000000001744
pm2_5_mean,Central Park,63.451412200927734,0.000000000000000
pm2_5_mean,Soho,63.451412200927734,0.000000000000000
pm2_5_mean,Washington Heights,63.451412200927734,0.000000000000000
carbon_monoxide_min,Central Park,2816.039062500000000,22.162036895751953
carbon_monoxide_min,Soho,2779.929199218750000,22.162036895751953
carbon_monoxide_min,Washington Heights,2840.134765625000000,22.162036895751953
carbon_monoxide_max,Central Park,53661.968750000000000,1176.248901367187500
carbon_monoxide_max,Soho,52955.039062500000000,1176.248901367187500
carbon_monoxide_max,Washington Heights,58604.773437500000000,1176.248901367187500
carbon_monoxide_mean,Central Park,11725.600585937500000,117.512260437011719
carbon_monoxide_mean,Soho,11379.204101562500000,117.512260437011719
carbon_monoxide_mean,Washington Heights,12371.770507812500000,117.512260437011719
carbon_dioxide_min,Central Park,107.712478637695312,16.778333663940430
carbon_dioxide_min,Soho,102.868995666503906,16.778333663940430
carbon_dioxide_min,Washington Heights,162.462371826171875,16.778333663940430
carbon_dioxide_max,Central Park,6791.280761718750000,509.809997558593750
carbon_dioxide_max,Soho,6855.606933593750000,509.809997558593750
carbon_dioxide_max,Washington Heights,9102.231445312500000,509.809997558593750
carbon_dioxide_mean,Central Park,1094.555175781250000,70.231117248535156
carbon_dioxide_mean,Soho,963.673767089843750,70.231117248535156
carbon_dioxide_mean,Washington Heights,1505.545166015625000,70.231117248535156
nitrogen_dioxide_min,Central Park,85.995628356933594,0.000000000000449
nitrogen_dioxide_min,Soho,85.995628356933594,0.000000000000449
nitrogen_dioxide_min,Washington Heights,85.995628356933594,0.000000000000449
nitrogen_dioxide_max,Central Park,428.002349853515625,0.000000000006810
nitrogen_dioxide_max,Soho,428.002349853515625,0.000000000006810
nitrogen_dioxide_max,Washington Heights,428.002349853515625,0.000000000006810
nitrogen_dioxide_mean,Central Park,187.642852783203125,0.000000000000000
nitrogen_dioxide_mean,Soho,187.642852783203125,0.000000000000000
nitrogen_dioxide_mean,Washington Heights,187.642852783203125,0.000000000000000
sulphur_dioxide_min,Central Park,4.090637683868408,0.000000000000034
sulphur_dioxide_min,Soho,4.090637683868408,0.000000000000034
