variable,location,within_location_variance,between_location_variance
relative_humidity_2m_min,Central Park,286.968048095703125,7.694058895111084
relative_humidity_2m_min,Soho,291.725067138671875,7.694058895111084
relative_humidity_2m_min,Washington Heights,292.921630859375000,7.694058895111084
relative_humidity_2m_max,Central Park,229.550064086914062,5.538194656372070
relative_humidity_2m_max,Soho,225.755859375000000,5.538194656372070
relative_humidity_2m_max,Washington Heights,209.247146606445312,5.538194656372070
relative_humidity_2m_mean,Central Park,261.708068847656250,2.567602157592773
relative_humidity_2m_mean,Soho,259.722656250000000,2.567602157592773
relative_humidity_2m_mean,Washington Heights,251.921173095703125,2.567602157592773
dew_point_2m_min,Central Park,359.360046386718750,1.916521430015564
dew_point_2m_min,Soho,361.208190917968750,1.916521430015564
dew_point_2m_min,Washington Heights,353.217956542968750,1.916521430015564
dew_point_2m_max,Central Park,290.609497070312500,0.759344160556793
dew_point_2m_max,Soho,287.979614257812500,0.759344160556793
dew_point_2m_max,Washington Heights,287.704925537109375,0.759344160556793
dew_point_2m_mean,Central Park,318.383026123046875,0.378945529460907
dew_point_2m_mean,Soho,316.494720458984375,0.378945529460907
dew_point_2m_mean,Washington Heights,313.442504882812500,0.378945529460907
precipitation_probability_min,Central Park,13.991122245788574,0.053516823798418
precipitation_probability_min,Soho,13.633537292480469,0.053516823798418
precipitation_probability_min,Washington Heights,13.364399909973145,0.053516823798418
precipitation_probability_max,Central Park,1219.167480468750000,1.990825653076172
precipitation_probability_max,Soho,1221.010986328125000,1.990825653076172
precipitation_probability_max,Washington Heights,1207.932128906250000,1.990825653076172
precipitation_probability_mean,Central Park,162.251266479492188,0.117904268205166
precipitation_probability_mean,Soho,160.397064208984375,0.117904268205166
precipitation_probability_mean,Washington Heights,164.200912475585938,0.117904268205166
vapour_pressure_deficit_min,Central Park,0.044101901352406,0.001925099873915
vapour_pressure_deficit_min,Soho,0.044447265565395,0.001925099873915
vapour_pressure_deficit_min,Washington Heights,0.037221424281597,0.001925099873915
vapour_pressure_deficit_max,Central Park,0.647994279861450,0.013120245188475
vapour_pressure_deficit_max,Soho,0.700774490833282,0.013120245188475
vapour_pressure_deficit_max,Washington Heights,0.691957890987396,0.013120245188475
vapour_pressure_deficit_mean,Central Park,0.188187763094902,0.002279253909364
vapour_pressure_deficit_mean,Soho,0.201639950275421,0.002279253909364
vapour_pressure_deficit_mean,Washington Heights,0.183589220046997,0.002279253909364
wind_speed_10m_min,Central Park,5.997831821441650,0.472534775733948
wind_speed_10m_min,Soho,6.246834278106689,0.472534775733948
wind_speed_10m_min,Washington Heights,6.022911548614502,0.472534775733948
wind_speed_10m_max,Central Park,15.179827690124512,0.986043274402618
wind_speed_10m_max,Soho,17.818344116210938,0.986043274402618
wind_speed_10m_max,Washington Heights,16.474046707153320,0.986043274402618
wind_speed_10m_mean,Central Park,9.077825546264648,0.199204802513123
wind_speed_10m_mean,Soho,9.779878616333008,0.199204802513123
wind_speed_10m_mean,Washington Heights,9.253460884094238,0.199204802513123
wind_speed_80m_min,Central Park,19.215658187866211,0.897481977939606
wind_speed_80m_min,Soho,18.454294204711914,0.897481977939606
wind_speed_80m_min,Washington Heights,18.981502532958984,0.897481977939606
wind_speed_80m_max,Central Park,35.808696746826172,1.921098470687866
wind_speed_80m_max,Soho,37.845645904541016,1.921098470687866
wind_speed_80m_max,Washington Heights,36.949451446533203,1.921098470687866
wind_speed_80m_mean,Central Park,21.827032089233398,0.230809494853020
wind_speed_80m_mean,Soho,21.835527420043945,0.230809494853020
wind_speed_80m_mean,Washington Heights,21.858243942260742,0.230809494853020
