date,relative_humidity_2m_min,relative_humidity_2m_max,relative_humidity_2m_mean,dew_point_2m_min,dew_point_2m_max,dew_point_2m_mean,precipitation_probability_min,precipitation_probability_max,precipitation_probability_mean,vapour_pressure_deficit_min,vapour_pressure_deficit_max,vapour_pressure_deficit_mean,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_mean,wind_speed_80m_min,wind_speed_80m_max,wind_speed_80m_mean,wind_speed_120m_min,wind_speed_120m_max,wind_speed_120m_mean,wind_speed_180m_min,wind_speed_180m_max,wind_speed_180m_mean,precipitation_min,precipitation_max,precipitation_mean,temperature_2m_min,temperature_2m_max,temperature_2m_mean,apparent_temperature_min,apparent_temperature_max,apparent_temperature_mean,rain_min,rain_max,rain_mean,showers_min,showers_max,showers_mean,weather_code_min,weather_code_max,weather_code_mean,cloud_cover_low_min,cloud_cover_low_max,cloud_cover_low_mean,cloud_cover_mid_min,cloud_cover_mid_max,cloud_cover_mid_mean,cloud_cover_high_min,cloud_cover_high_max,cloud_cover_high_mean,evapotranspiration_min,evapotranspiration_max,evapotranspiration_mean,city,state,pm10_min,pm10_max,pm10_mean,pm2_5_min,pm2_5_max,pm2_5_mean,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_dioxide_min,carbon_dioxide_max,carbon_dioxide_mean,nitrogen_dioxide_min,nitrogen_dioxide_max,nitrogen_dioxide_mean,sulphur_dioxide_min,sulphur_dioxide_max,sulphur_dioxide_mean,ozone_min,ozone_max,ozone_mean,uv_index_min,uv_index_max,uv_index_mean,ammonia_min,ammonia_max,ammonia_mean,methane_min,methane_max,methane_mean,us_aqi_min,us_aqi_max,us_aqi_mean,us_aqi_pm2_5_min,us_aqi_pm2_5_max,us_aqi_pm2_5_mean,us_aqi_pm10_min,us_aqi_pm10_max,us_aqi_pm10_mean,us_aqi_nitrogen_dioxide_min,us_aqi_nitrogen_dioxide_max,us_aqi_nitrogen_dioxide_mean,us_aqi_carbon_monoxide_min,us_aqi_carbon_monoxide_max,us_aqi_carbon_monoxide_mean,us_aqi_ozone_min,us_aqi_ozone_max,us_aqi_ozone_mean,us_aqi_sulphur_dioxide_min,us_aqi_sulphur_dioxide_max,us_aqi_sulphur_dioxide_mean
2023-01-01,87.0,97.0,92.68421,32.044533,43.012764,38.27341,,,,0.027893126,0.116757154,0.06277959,2.0256896,8.108932,4.7485075,4.5295796,14.009408,8.9069805,3.9875615,13.237065,9.873148,8.0656185,30.116533,16.803675,0.0,0.08661418,0.004558641,34.3985,45.1985,40.229553,28.729595,41.43826,35.52508,0.0,0.08661418,0.004558641,0.0,0.0,0.0,2.0,61.0,12.578947,40.0,100.0,88.10526,0.0,100.0,52.842106,0.0,97.0,9.473684,-0.0,0.0011811024,0.00014504766,Chicago,Illinois,18.5,65.2,33.757896,12.9,45.6,23.584211,186.0,715.0,355.94736,,,,15.95,48.6,30.139475,2.95,13.65,6.476316,2.0,19.0,10.421053,0.0,1.4,0.34210527,,,,,,,72.73049,76.32092,74.12607,72.73049,76.32092,74.12607,29.465908,31.685608,30.319975,7.855595,23.936169,14.844107,2.5434785,5.1787443,3.5950928,3.710575,7.8269944,5.135607,1.6085061,7.4427485,3.531252
2023-01-02,87.0,99.0,93.833336,33.118366,39.557465,36.664013,,,,0.0070195794,0.112374306,0.048752714,1.5006253,8.423723,3.9067738,0.8065618,13.091706,6.3351426,4.8864126,12.794469,8.291864,5.2795095,16.949612,11.337518,0.0,0.0,0.0,35.2085,40.6985,38.2985,30.68809,37.060593,33.617085,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,8.25,16.0,100.0,67.916664,0.0,99.0,53.333332,0.0,98.0,52.916668,-0.0,0.0003937008,8.2021e-05,Chicago,Illinois,34.3,89.2,55.870834,23.8,62.4,38.920834,265.0,1100.0,595.8333,,,,26.15,52.55,33.40625,6.5,13.75,8.460417,0.0,21.0,5.7916665,0.0,1.0,0.19999999,,,,,,,76.303185,113.18749,98.98477,76.303185,113.18749,98.98477,31.67803,51.7375,44.651443,12.879236,25.8816,16.45304,3.4625604,8.190822,6.0495677,0.0,6.89935,2.0702884,3.5441656,7.497274,4.6130953
2023-01-03,92.0,100.0,97.875,36.684162,44.21476,39.837,,,,0.0,0.06508446,0.018148096,1.5817978,13.005418,6.2813306,1.304384,21.910042,11.8787155,0.9133084,15.452194,10.891064,14.499143,25.78088,18.510906,0.0,0.18503937,0.019192914,38.1785,44.4785,40.39475,32.083702,42.33644,35.318745,0.0,0.18503937,0.019192914,0.0,0.0,0.0,3.0,63.0,36.333332,100.0,100.0,100.0,0.0,100.0,51.125,0.0,100.0,85.791664,0.0,0.0003937008,0.000164042,Chicago,Illinois,7.4,95.5,33.591667,5.2,66.8,23.404167,230.0,1112.0,421.95834,,,,16.9,61.35,31.804167,1.7,6.4,3.9020834,2.0,12.0,7.2083335,0.0,0.45,0.07083333,,,,,,,63.1383,108.55206,81.12815,63.1383,108.55206,81.12815,23.818186,50.435417,34.78314,8.323483,30.21572,15.66399,2.4444444,5.636473,3.1997283,2.0292208,7.6530614,4.570578,0.9269358,3.4896402,2.1276355
2023-01-04,87.0,98.0,91.416664,30.842813,43.32142,36.643787,,,,0.01815033,0.107402444,0.06790466,1.0004169,10.798016,5.556931,6.044041,18.446774,11.629649,1.0211099,17.116919,11.078668,11.006858,24.741867,18.008402,0.0,0.0,0.0,34.0385,45.0185,38.93975,25.797535,41.43694,33.594746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,9.5,0.0,100.0,80.75,0.0,99.0,14.0,0.0,98.0,10.041667,-0.0,0.0011811024,9.84252e-05,Chicago,Illinois,10.5,52.5,22.558334,7.3,36.7,15.766666,185.0,975.0,406.54166,,,,15.4,53.25,28.199999,2.2,7.55,4.4041667,0.0,31.0,9.5,0.0,0.9,0.14583333,,,,,,,63.28014,80.026596,76.614586,63.28014,80.026596,76.614586,23.727272,33.946968,31.884626,7.584712,26.22636,13.888889,2.3586957,8.89372,4.9659324,0.23191094,9.160482,2.5896723,1.1995639,4.116685,2.4013996
2023-01-05,84.0,96.0,90.125,28.213327,31.513794,30.16421,,,,0.024487436,0.10009736,0.062421322,3.6689527,10.516279,7.055567,6.0191517,15.480621,11.613994,11.150687,18.416813,14.206416,12.83695,19.823658,16.72061,0.0,0.0,0.0,31.6985,33.6785,32.7485,22.994728,26.92558,25.670723,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,100.0,100.0,100.0,0.0,99.0,41.958332,0.0,0.0,0.0,0.0,0.0,0.0,Chicago,Illinois,6.3,11.8,8.8,4.4,8.2,6.1625,179.0,255.0,213.79167,,,,9.5,34.85,20.262499,5.05,7.75,6.6875,10.0,32.0,23.5,0.0,0.75,0.125,,,,,,,25.53819,58.014183,36.725227,25.53819,58.014183,36.725227,7.9507575,20.507578,11.664616,4.678881,17.164104,9.979561,1.8454107,2.2741547,2.0479066,8.580705,13.334879,11.126893,2.7535443,4.2257366,3.6464014
2023-01-06,88.0,96.0,92.083336,24.831707,31.23609,28.888472,,,,0.019787222,0.067582846,0.046588197,5.217536,9.766241,7.956693,6.109918,15.706862,11.548554,7.081822,15.835435,12.029301,6.7147274,21.927166,13.670413,0.0,0.0,0.0,26.7485,32.8685,30.922249,19.102335,25.173943,23.291658,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,100.0,100.0,100.0,0.0,57.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Chicago,Illinois,8.6,27.1,13.741666,6.0,19.0,9.604167,172.0,372.0,235.0,,,,7.9,37.6,20.608334,3.1,6.65,4.5333333,2.0,58.0,29.791666,0.0,1.2,0.23958333,,,,,,,25.677082,38.14236,30.03183,25.677082,38.14236,30.03183,8.0,11.91288,9.369003,3.8908594,18.518518,10.149888,1.8538647,2.4722223,2.1939414,2.7249537,21.567717,11.619704,1.6902944,3.6259546,2.4718287
2023-01-07,74.0,93.0,85.0,20.792648,29.463142,25.123999,,,,0.038404524,0.13544565,0.08166787,0.31635958,8.056306,4.3171954,0.9223387,10.290199,6.307344,4.0844398,11.08504,7.2117677,3.3851953,12.156198,7.365704,0.0,0.0,0.0,26.2985,32.7785,29.096,19.966501,25.678738,22.522238,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chicago,Illinois,9.8,21.7,13.770833,6.9,15.1,9.616667,174.0,320.0,220.79167,,,,11.95,36.85,23.610418,5.35,7.0,6.1895833,31.0,55.0,41.208332,0.0,1.15,0.23124999,,,,,,,40.017357,43.00347,41.187065,40.017357,43.00347,41.187065,12.492425,13.431817,12.860322,5.8855395,18.149132,11.628456,1.9589372,2.5144928,2.1916769,15.016233,21.683674,19.094,2.9171212,3.816794,3.3749094
2023-01-08,79.0,86.0,83.458336,25.47761,28.242329,27.026617,,,,0.08294153,0.13089842,0.0993241,0.50020844,8.133579,3.3413537,0.2237,11.820169,4.317543,1.3888595,8.472751,4.074108,2.2813013,7.9089894,5.0144253,0.0,0.0,0.0,29.7185,33.1385,31.46225,22.254622,28.560078,25.524109,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,84.0,100.0,99.333336,0.0,100.0,22.541666,0.0,1.0,0.041666668,0.0,0.0,0.0,Chicago,Illinois,14.3,38.4,21.604166,10.0,26.9,15.091667,210.0,495.0,312.0,,,,21.8,51.05,40.120834,5.35,12.7,7.5958333,26.0,60.0,36.291668,0.0,1.05,0.21458334,,,,,,,40.06945,55.531918,50.241302,40.06945,55.531918,50.241302,12.518939,19.007574,16.304607,10.7368,25.142828,19.760063,2.1280193,3.3297102,2.8555758,12.349257,22.959183,16.888432,2.9171212,6.924754,4.141676
2023-01-09,69.0,95.0,85.333336,24.298695,34.00227,27.50717,,,,0.024187177,0.2862414,0.10270038,4.3950076,9.888451,7.225502,7.7524233,13.662192,11.171599,9.047056,17.388874,12.585381,7.6189475,26.326363,19.03073,0.0,0.0,0.0,26.1185,42.4085,31.567251,18.966135,35.386005,24.077486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0,54.875,0.0,99.0,13.125,0.0,51.0,2.5,0.0,0.0,0.0,Chicago,Illinois,15.3,37.5,26.020834,10.7,25.8,18.025,215.0,388.0,301.95834,,,,14.25,47.2,33.147915,6.55,11.6,8.9875,9.0,36.0,22.208334,0.0,1.45,0.28541666,,,,,,,55.700363,63.156025,57.39842,55.700363,63.156025,57.39842,19.14394,23.840908,20.181976,7.018322,23.246653,16.325806,2.3731883,3.5,2.9381542,8.522727,22.611317,12.228471,3.5714288,6.324973,4.9004908
2023-01-10,73.0,93.0,82.583336,30.03301,39.10057,33.574364,,,,0.053511977,0.25162762,0.14214121,1.9112936,11.144661,5.8361087,5.236683,21.330236,12.9543495,4.594994,17.908764,11.498714,5.8547893,35.216946,20.264893,0.0,0.0,0.0,34.3985,45.8285,38.4635,27.619202,40.988743,32.452305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0,33.041668,0.0,99.0,47.25,0.0,99.0,22.75,0.0,0.0,0.0,Chicago,Illinois,13.9,50.3,28.083334,9.4,34.9,19.341667,180.0,530.0,318.91666,,,,10.7,46.15,28.254166,4.35,15.55,7.8770833,4.0,39.0,20.375,0.0,1.4,0.26875,,,,,,,62.819145,65.16844,63.96646,62.819145,65.16844,63.96646,23.655304,25.215908,24.512312,5.2698975,22.729511,13.915566,1.9698067,3.731884,2.928291,5.102041,14.146568,9.769248,2.3718648,8.478735,4.295029
