date,bus_route,daily_ridership
2023-01-01,B1,4897
2023-01-01,B100,510
2023-01-01,B101,0
2023-01-01,B103,2431
2023-01-01,B11,2763
2023-01-01,B12,2232
2023-01-01,B13,1206
2023-01-01,B14,889
2023-01-01,B15,4622
2023-01-01,B16,1446
2023-01-01,B17,2072
2023-01-01,B2,490
2023-01-01,B20,1023
2023-01-01,B24,442
2023-01-01,B25,1580
2023-01-01,B26,2021
2023-01-01,B3,3699
2023-01-01,B31,514
2023-01-01,B32,207
2023-01-01,B35,5763
2023-01-01,B36,2306
2023-01-01,B37,401
2023-01-01,B38,3758
2023-01-01,B39,67
2023-01-01,B4,1442
2023-01-01,B41,5508
2023-01-01,B42,418
2023-01-01,B43,1875
2023-01-01,B44,4062
2023-01-01,B44+,2418
2023-01-01,B45,862
2023-01-01,B46,4736
2023-01-01,B46+,2670
2023-01-01,B47,1482
2023-01-01,B48,808
2023-01-01,B49,2235
2023-01-01,B52,2237
2023-01-01,B54,1578
2023-01-01,B57,1551
2023-01-01,B6,7133
2023-01-01,B60,1338
2023-01-01,B61,2027
2023-01-01,B62,2128
2023-01-01,B63,2806
2023-01-01,B64,1465
2023-01-01,B65,981
2023-01-01,B67,539
2023-01-01,B68,3815
2023-01-01,B69,501
2023-01-01,B7,780
2023-01-01,B70,1970
2023-01-01,B74,540
2023-01-01,B8,3860
2023-01-01,B82,6343
2023-01-01,B82+,31
2023-01-01,B83,1211
2023-01-01,B84,55
2023-01-01,B9,3574
2023-01-01,B90,0
2023-01-01,B91,0
2023-01-01,B91A,0
2023-01-01,B92,0
2023-01-01,B93,0
2023-01-01,B94,0
2023-01-01,B96,0
2023-01-01,B98,0
2023-01-01,B98V,0
2023-01-01,B99,0
2023-01-01,BM1,9
2023-01-01,BM2,0
2023-01-01,BM3,0
2023-01-01,BM4,0
2023-01-01,BM5,0
2023-01-01,BX1,2352
2023-01-01,BX10,1832
2023-01-01,BX11,1881
2023-01-01,BX12,1646
2023-01-01,BX12+,4058
2023-01-01,BX13,1957
2023-01-01,BX15,1541
2023-01-01,BX16,836
2023-01-01,BX17,932
2023-01-01,BX18,367
2023-01-01,BX18A,0
2023-01-01,BX18B,0
2023-01-01,BX19,4461
2023-01-01,BX2,2317
2023-01-01,BX20,0
2023-01-01,BX21,1534
2023-01-01,BX22,1680
2023-01-01,BX23,731
2023-01-01,BX24,137
2023-01-01,BX25,586
2023-01-01,BX26,725
2023-01-01,BX27,820
2023-01-01,BX28,1616
2023-01-01,BX29,397
2023-01-01,BX3,2609
2023-01-01,BX30,816
2023-01-01,BX31,1096
2023-01-01,BX32,452
2023-01-01,BX33,184
2023-01-01,BX34,335
2023-01-01,BX35,2024
2023-01-01,BX36,3311
2023-01-01,BX38,1031
2023-01-01,BX39,2289
2023-01-01,BX4,807
2023-01-01,BX40,1400
2023-01-01,BX41,1296
2023-01-01,BX41+,1193
2023-01-01,BX42,1395
2023-01-01,BX46,25
2023-01-01,BX4A,525
2023-01-01,BX5,1344
2023-01-01,BX6,1394
2023-01-01,BX6+,1560
2023-01-01,BX7,2996
2023-01-01,BX8,537
2023-01-01,BX9,4583
2023-01-01,BX90,0
2023-01-01,BX99,0
2023-01-01,BXM1,263
2023-01-01,BXM10,311
2023-01-01,BXM11,207
2023-01-01,BXM18,0
2023-01-01,BXM2,183
2023-01-01,BXM3,137
2023-01-01,BXM4,72
2023-01-01,BXM6,212
2023-01-01,BXM7,702
2023-01-01,BXM8,294
2023-01-01,BXM9,288
2023-01-01,D90,0
2023-01-01,D99,0
2023-01-01,F1,0
2023-01-01,J90,0
2023-01-01,J99,0
2023-01-01,L90,0
2023-01-01,L91,0
2023-01-01,L92,0
2023-01-01,M1,2987
2023-01-01,M10,1820
2023-01-01,M100,1644
2023-01-01,M101,5226
2023-01-01,M102,3545
2023-01-01,M103,3078
2023-01-01,M104,2999
2023-01-01,M106,209
2023-01-01,M11,3363
2023-01-01,M116,1503
2023-01-01,M12,615
2023-01-01,M125,2047
2023-01-01,M14A,0
2023-01-01,M14A+,1718
2023-01-01,M14D,0
2023-01-01,M14D+,3114
2023-01-01,M15,6680
2023-01-01,M15+,6894
2023-01-01,M2,2660
2023-01-01,M20,890
2023-01-01,M21,260
2023-01-01,M22,433
2023-01-01,M23+,2381
2023-01-01,M3,3677
2023-01-01,M31,2148
2023-01-01,M34+,1312
2023-01-01,M34A+,1292
2023-01-01,M35,28
2023-01-01,M4,3692
2023-01-01,M42,2001
2023-01-01,M5,2146
2023-01-01,M50,302
2023-01-01,M55,947
2023-01-01,M57,1456
2023-01-01,M60+,3469
2023-01-01,M66,1276
2023-01-01,M7,3741
2023-01-01,M72,720
2023-01-01,M79+,2646
2023-01-01,M8,225
2023-01-01,M86+,4112
2023-01-01,M9,1379
