date,state,rain_sum,rain_max,snowfall_sum,snowfall_max,relative_humidity_2m_min,relative_humidity_2m_max,relative_humidity_2m_mean,apparent_temperature_min,apparent_temperature_max,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_min,wind_direction_10m_max,wind_direction_10m_mean,apparent_temperature_min_lag,apparent_temperature_max_lag,us_aqi_pm2_5_min,us_aqi_pm2_5_max,us_aqi_pm2_5_mean,us_aqi_min,us_aqi_max,us_aqi_mean,us_aqi_pm10_min,us_aqi_pm10_max,us_aqi_pm10_mean,us_aqi_nitrogen_dioxide_min,us_aqi_nitrogen_dioxide_max,us_aqi_nitrogen_dioxide_mean,us_aqi_carbon_monoxide_min,us_aqi_carbon_monoxide_max,us_aqi_carbon_monoxide_mean,us_aqi_ozone_min,us_aqi_ozone_max,us_aqi_ozone_mean,us_aqi_sulphur_dioxide_min,us_aqi_sulphur_dioxide_max,us_aqi_sulphur_dioxide_mean,us_aqi_min_bin,us_aqi_min_bin_lag,us_aqi_min_lag,us_aqi_max_bin,us_aqi_max_bin_lag,us_aqi_max_lag,us_aqi_mean_bin,us_aqi_mean_bin_lag,us_aqi_mean_lag
2023-01-01,NYC,0.08661418,0.04330709,0.0,0.0,45.0,99.0,77.833336,42.630226,50.201454,0.2237,12.309598,5.7468376,9.462248,335.22488,234.55664,41.75705,49.854584,47.79514,82.02128,69.08256,47.79514,82.02128,69.08256,14.905305,35.5947,27.485163,6.8951926,31.644014,18.648829,2.3466184,8.334541,4.534571,0.0,14.494434,6.805136,0.70883316,2.5627046,1.5062705,1,2.0,83.510635,2,3.0,102.97916,2,2.0,92.541626
2023-01-02,NYC,0.0,0.0,0.0,0.0,49.0,84.0,67.666664,37.67968,51.240326,1.0004169,6.2154794,2.6089747,165.06853,296.56497,225.88496,42.630226,50.201454,46.66667,88.3954,63.933582,46.66667,88.3954,63.933582,14.553031,39.075764,24.160355,12.608354,40.460007,24.670837,3.080918,8.230677,5.878774,0.69573283,11.363637,4.1043406,3.271538,10.250818,4.9334335,1,1.0,47.79514,2,2.0,82.02128,2,2.0,69.08256
2023-01-03,NYC,0.015748031,0.015748031,0.0,0.0,70.0,99.0,89.625,43.230396,50.94963,0.63271916,8.503543,3.209303,43.02507,344.05453,147.70006,37.67968,51.240326,91.24114,124.166664,111.69222,91.24114,124.166664,111.69222,40.82197,54.904167,50.377567,20.882586,36.692276,25.634315,5.724638,10.954106,8.457327,0.0,4.0584416,0.76337355,2.208288,9.160306,6.134134,2,1.0,46.66667,3,2.0,88.3954,3,2.0,63.933582
2023-01-04,NYC,0.0,0.0,0.0,0.0,77.0,98.0,90.125,48.938805,63.290493,0.31635958,6.9383073,4.5577044,105.945465,308.65982,185.98116,43.230396,50.94963,57.45567,108.843735,76.94027,57.45567,108.843735,76.94027,20.21591,50.51667,32.141636,10.195036,35.904255,24.208078,2.3731883,5.2608695,3.8140097,2.0292208,14.610389,7.0104747,1.4721919,6.0250816,2.8137496,2,2.0,91.24114,3,3.0,124.166664,2,3.0,111.69222
2023-01-05,NYC,0.0,0.0,0.0,0.0,89.0,100.0,94.958336,41.41979,54.246094,2.2031894,8.632038,5.68074,23.749514,354.2895,64.371025,48.938805,63.290493,66.028366,89.37943,77.83651,66.028366,89.37943,77.83651,25.443182,39.64394,32.61316,18.149132,42.06068,27.240118,5.2777777,8.960146,7.265248,0.0,3.8845084,1.3359036,2.0174482,6.4067616,3.824746,2,2.0,57.45567,2,3.0,108.843735,2,2.0,76.94027
2023-01-06,NYC,0.08661418,0.027559055,0.0,0.0,69.0,96.0,89.208336,36.73255,43.543465,2.608768,9.174427,5.2590923,4.763556,300.96368,130.6194,41.41979,54.246094,63.244682,87.58865,78.44526,63.244682,87.58865,78.44526,23.863634,38.560608,33.074654,17.902876,25.43834,20.558346,3.4649758,6.3840585,4.567985,0.0,5.3339515,1.3214092,2.508179,5.0708833,4.0916944,2,2.0,66.028366,2,2.0,89.37943,2,2.0,77.83651
2023-01-07,NYC,0.0,0.0,0.0,0.0,56.0,80.0,69.083336,27.09565,35.879906,3.257121,12.406782,7.780487,246.25049,299.74478,274.0225,36.73255,43.543465,36.649307,61.98582,52.12129,36.649307,61.98582,52.12129,11.439393,23.094696,17.57055,6.181048,25.241333,14.538391,2.490338,4.4142513,3.2974033,2.3770874,9.218459,5.0923777,1.5539805,2.6990185,2.023128,1,2.0,63.244682,2,2.0,87.58865,2,2.0,78.44526
2023-01-08,NYC,0.0,0.0,0.0,0.0,35.0,73.0,59.333332,23.126314,34.11878,2.4708471,8.301048,5.0542827,149.53453,360.0,274.10315,27.09565,35.879906,30.868057,40.46875,33.537327,30.868057,40.46875,33.537327,9.625,12.617423,10.458806,5.910166,32.629036,19.823679,2.0603867,3.1896133,2.637983,4.4642854,18.089052,11.114815,1.4994547,6.1341333,2.599055,1,1.0,36.649307,1,2.0,61.98582,1,2.0,52.12129
2023-01-09,NYC,0.0,0.0,0.0,0.0,42.0,90.0,69.875,24.73762,34.520905,0.7074015,13.423864,5.643296,83.29026,303.6901,241.39174,23.126314,34.11878,43.29861,65.06206,58.10747,43.29861,65.06206,58.10747,13.503788,24.856062,20.712753,7.4862094,35.53487,21.854273,2.992754,6.0471015,4.4978366,0.69573283,13.450835,4.821815,2.099237,7.4700108,4.2859416,1,1.0,30.868057,2,1.0,40.46875,2,1.0,33.537327
2023-01-10,NYC,0.0,0.0,0.0,0.0,45.0,62.0,57.333332,25.26978,34.44472,3.5014586,7.7233214,5.3607044,209.0545,296.56497,262.96884,24.73762,34.520905,53.679077,61.170216,55.454346,53.679077,61.170216,55.454346,17.882576,22.47727,18.964489,7.6093383,27.18676,18.685768,2.4806764,3.5507247,2.9967291,4.174397,13.972634,10.220992,2.3173392,4.9073067,2.9341605,2,1.0,43.29861,2,2.0,65.06206,2,2.0,58.10747
